case_no,alert_key,alert_date,alert_url,source_format,vehicle_type,last_seen,discovered_missing,window_hours,within_window,location_raw,zone_id,needs_review,narrative_text,case_source
25-0823-0004,8-27-2025,2025-08-27,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/08/8-27-2025.html,narrative,ebike,,,,,,,True,"On Aug. 23, 2025, the Texas A&M University Police Department (UPD) stopped a subject on an electric bike who was known to have a Criminal Trespass Warning for TAMU property. The subject was arrested for outstanding local warrants and Criminal Trespass. A search of the subject revealed drug paraphernalia and criminal instruments believed to be used to defeat locks. The electric bike was believed to have been stolen and seized by the police. On Aug. 24, 2025, the owner of the electric bike reported it stolen to Texas A&M Police. On Aug. 27, 2025, Texas A&M Police observed the subject again on campus near Hensel Drive riding an electric bike. He was stopped, and the investigation revealed the bike was stolen. He was arrested for Theft, Unlawful Use of a Criminal Instrument, Possession of Drug Paraphernalia, and Disregard of a Stop Sign. The suspect’s name is Jesse Broadway. Broadway is described as a white male, 33 years old, 5’11” tall, 215 lbs., with brown hair and hazel eyes. Broadway has no affiliation with Texas A&M and has an active Criminal Trespass Warning for TAMU property. His photo can be found on the Texas A&M University Police Department’s Facebook and X page. Contact UPD",
25-0905-0016,09-05-2025,2025-09-05,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/09/09-05-2025.html,narrative,unknown,,2025-08-29T14:00:00,,,,,True,"On Sept. 5, 2025, the Texas A&M University Police Department (UPD) received a report of a stolen side-by-side. The victim last observed their side-by-side at the Physical Plant Grounds Maintenance Facility at 3 p.m. on Aug. 28, 2025. The victim discovered the side-by-side missing at 2 p.m. on Aug. 29, 2025. The key was not in the ignition when it was taken. The victim’s side-by-side is described as a green 2023 Kawasaki Mule. ",
25-0912-0014,09-12-2025,2025-09-12,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/09/09-12-2025.html,narrative,escooter,,,,,"approximately 5 p.m. outside the Zachry Engineering Education Complex, to the bicycle racks facing Spence St. The friend returned",,True,"On Sept. 12, 2025, the Texas A&M University Police Department (UPD) received a report of a stolen electric scooter. The victim reported that they allowed a friend to borrow their scooter on Sept. 5, 2025. They advised that the friend parked the scooter and secured it with a cable lock at approximately 5 p.m. outside the Zachry Engineering Education Complex, to the bicycle racks facing Spence St. The friend returned at approximately 11:55 a.m. on Sept. 12, 2025, to find the scooter missing and alerted the victim. The victim advised that the cable lock was still secured to the bicycle rack, and a ripped-off Apple AirTag was on the ground. The victim’s scooter is described as a black, grey, and orange accented WERHY H5 electric scooter. ",
25-1001-0003,10-1-2025,2025-10-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/10/10-1-2025.html,narrative,escooter,,2025-10-01T08:45:00,,,,,True,"On Oct. 1, 2025, the Texas A&M University Police Department (UPD) received a report of a stolen electric scooter. The victim reported that they secured their scooter with a cable-style lock to a bicycle rack near the north side of Hart Hall at approximately 11 p.m. on Sept. 29, 2025. The victim returned to the bicycle rack on Oct. 1, 2025, at 8:45 a.m. and discovered that the scooter was gone. The victim located the cable-style lock cut and lying on the ground where the scooter had been secured. The victim’s scooter is described as a black, Segway Ninebot E2 electric scooter. ",
25-1011-0034,10-12-2025,2025-10-12,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/10/10-12-2025.html,narrative,unknown,,,,,,,True,"On Oct. 11, 2025, the Texas A&M University Police Department (UPD) recovered two vehicles prior to them being reported stolen. Patrol officers located a University owned Golf Cart at approximately 11 p.m. on the sidewalk along University Drive near Northside Garage. After identifying the victim, they advised that the vehicle was last parked at the Coke Building at 5 p.m. on Friday, Oct. 10, 2025. There was notable damage to the ignition area allowing it to be started. The victim’s vehicle is described as a silver/ grey EZGO Elite Golf Cart with maroon Texas A&M College of Architecture markings. Patrol officers located a second University owned Golf Cart at approximately 11:45 p.m. outside of the covered small vehicle parking area near the Jack K. Williams Administration Building. After identifying that the victim was the same, they advised that the vehicle was also last parked at the Coke Building at 5 p.m. on Friday Oct. 10, 2025. There was no noticeable damage to the vehicle. The victim’s second vehicle is described as a maroon IR Club Car Golf Cart with white Texas A&M lettering. ",
25-1104-0008,11-4-2025-update,2025-11-05,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/11/11-4-2025-update.html,narrative,unknown,,,,,,,True,"On Nov. 4, 2025, the University Police Department was contacted by a staff member who had seen the recent crime alert. They provided information that led to UPD successfully locating and recovering the golf cart on PA 20. The golf cart will be returned to the victim. This case remains under investigation. Campus crime alerts and timely warnings to the community comply with the federal Jeanne Clery Campus Safety Act (Clery Act). Case 25-1104-0008 On Nov. 4, 2025, the Texas A&M University Police Department (UPD) received a report of a stolen golf cart. The victim reported that the golf cart was parked and secured in PA 102 on Saturday, Nov. 1, 2025. They reported that it was stolen at approximately 2:20 p.m. The golf cart is described as being maroon with an ATM sticker on the front hood, Texas A&M Athletics on the side, black handrails on the back, and a tan top. ",
25-1116-0007,12-1-2025,2025-12-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-1-2025.html,list,unknown,2025-11-15T21:30:00,2025-11-16T13:30:00,16.0,True,"Krueger Residence Hall Bike Rack (722 Lubbock St, College Station)",,False,,
25-1116-0010,12-1-2025,2025-12-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-1-2025.html,list,unknown,2025-11-14T18:30:00,2025-11-16T10:45:00,40.25,True,Between Gainer Hall & Underwood Hall,,False,,
25-1117-0007,12-1-2025,2025-12-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-1-2025.html,list,unknown,2025-11-16T16:30:00,2025-11-17T09:50:00,17.33,True,"Gene Stallings Blvd Garage - Bike Racks (500 Gene Stallings Blvd, College Station)",,False,,
25-1118-0002,12-1-2025,2025-12-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-1-2025.html,list,unknown,2025-11-17T23:15:00,2025-11-18T03:15:00,4.0,True,"AI Engineering Building - Northeast Bike Racks (423 Spence St, College Station)",,False,,
25-1118-0005,12-1-2025,2025-12-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-1-2025.html,list,unknown,2025-11-18T12:30:00,2025-11-18T14:35:00,2.08,True,"Zachry Engineering Education Complex - Northwest Bike Racks (125 Spence St, College Station)",,False,,
25-1118-0009,12-1-2025,2025-12-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-1-2025.html,list,unknown,2025-11-18T20:00:00,2025-11-18T20:30:00,0.5,True,"Bike Racks Between Sterling C. Evans Library and Evan Library Annex (400 Spence St, College Station)",,False,,
25-1119-0015,12-1-2025,2025-12-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-1-2025.html,list,unknown,2025-11-19T09:00:00,2025-11-19T20:00:00,11.0,True,"Clements Residence Hall - Bike Racks (211 Jones St, College Station)",,False,,
25-1121-0011,12-1-2025,2025-12-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-1-2025.html,list,unknown,2025-11-20T14:00:00,2025-11-20T16:00:00,2.0,True,"The Gardens F - Bike Racks (302 Ball St, College Station)",,False,,
25-1123-0012,12-1-2025,2025-12-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-1-2025.html,list,unknown,2025-11-22T17:30:00,2025-11-23T18:45:00,25.25,True,"Park West Tower 3 - East Side Bike Racks (503 George Bush Drive West, College Station, TX 77840)",,False,,
25-1124-0011,12-1-2025,2025-12-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-1-2025.html,list,unknown,2025-11-24T16:00:00,2025-11-24T23:00:00,7.0,True,"Dwight Look Engineering Building - Bike Racks (199 Spence St, College Station)",,False,,
25-1125-0005,12-1-2025,2025-12-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-1-2025.html,list,unknown,2025-11-20T15:00:00,2025-11-25T08:00:00,113.0,True,"Mitchell Physics Building - Southwest Side Bike Racks (578 University Dr, College Station)",,False,,
25-1125-0006,12-1-2025,2025-12-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-1-2025.html,list,unknown,2025-11-25T09:52:00,2025-11-25T09:52:00,0.0,True,"Eppright Residence Hall - Northwest Bike Racks (695 Spence St, College Station)",,False,,
25-1125-0013,12-1-2025,2025-12-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-1-2025.html,list,unknown,2025-11-24T22:30:00,2025-11-25T13:30:00,15.0,True,"Mosher Residence Hall - South Side Bike Racks (725 Mosher Ln, College Station)",,False,,
25-1126-0002,12-1-2025,2025-12-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-1-2025.html,list,unknown,2025-11-26T10:00:00,2025-11-26T10:00:00,0.0,True,"Aston Residence Hall - Southeast Bike Racks (655 Mosher Ln, College Station)",,False,,
25-1201-0001,12-1-2025,2025-12-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-1-2025.html,list,unknown,2025-11-25T10:00:00,2025-11-25T14:00:00,4.0,True,"Coke Building Bike Racks (415 Houston St, College Station)",,False,,
25-1201-0002,12-15-2025,2025-12-15,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-15-2025.html,list,unknown,,,,,"Gene Stallings Blvd Garage - Bike Racks (500 Gene Stallings Bl, College Station)",,True,,
25-1201-0004,12-15-2025,2025-12-15,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-15-2025.html,list,unknown,,,,,"The Gardens F - Southwest Corner of the Building (302 Ball St, College Station)",,True,,
25-1201-0008,12-15-2025,2025-12-15,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-15-2025.html,list,unknown,,,,,"Schuhmacher Residence Hall - Bike Racks (308 University Dr, College Station)",,True,,
25-1201-0010,12-15-2025,2025-12-15,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-15-2025.html,list,unknown,,,,,"Gene Stallings Blvd Garage - Northeast Bike Racks (500 Gene Stallings Bl, College Station)",,True,,
25-1201-0011,12-15-2025,2025-12-15,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-15-2025.html,list,unknown,,,,,"Blocker Building - Southwest Bike Racks (155 Ireland St, College Station)",,True,,
25-1202-0004,12-15-2025,2025-12-15,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-15-2025.html,list,unknown,,,,,"Lechner Residence Hall - Southwest Bike Racks (232 Houston St, College Station)",,True,,
25-1202-0006,12-15-2025,2025-12-15,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-15-2025.html,list,unknown,,,,,"Walton Residence Hall - North Side Bike Racks (166 Houston St, College Station)",,True,,
25-1202-0007,12-15-2025,2025-12-15,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-15-2025.html,list,unknown,,,,,"Walton Residence Hall - North Side Bike Racks (166 Houston St, College Station)",,True,,
25-1202-0008,12-15-2025,2025-12-15,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-15-2025.html,list,unknown,,,,,"Koldus Building - West Side Bike Racks (400 Joe Routt Bl, College Station)",,True,,
25-1202-0010,12-15-2025,2025-12-15,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-15-2025.html,list,unknown,,,,,"Bike Racks Between Hobby Residence Hall and Neeley Residence Hall (160 Asbury St, College Station)",,True,,
25-1202-0013,12-15-2025,2025-12-15,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-15-2025.html,list,unknown,,,,,"Zachry Engineering Education Complex - Southwest Bike Racks (125 Spence St, College Station)",,True,,
25-1202-0014,12-15-2025,2025-12-15,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-15-2025.html,list,unknown,,,,,"Innovative Learning Classroom Building - East Side Bike Racks (215 Lamar St, College Station)",,True,,
25-1203-0006,12-15-2025,2025-12-15,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-15-2025.html,list,unknown,,,,,"Joe C. Richardson Petroleum Engineering Building - North Side Bike Racks (245 Spence St, College Station)",,True,,
25-1203-0009,12-15-2025,2025-12-15,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-15-2025.html,list,unknown,,,,,"The Gardens F - Bike Racks (302 Ball Street, College Station, TX 77843)",,True,,
25-1204-0004,12-15-2025,2025-12-15,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-15-2025.html,list,unknown,,,,,"White Creek Apartments C - Southwest Exterior Near Stairwell (225 Discovery Dr, College Station)",,True,,
25-1204-0006,12-15-2025,2025-12-15,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-15-2025.html,list,unknown,,,,,"AI Engineering Building - West Side Bike Racks (423 Spence St, College Station)",,True,,
25-1204-0007,12-15-2025,2025-12-15,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-15-2025.html,list,unknown,2025-12-04T18:21:00,2025-12-04T19:00:00,0.65,True,"Langford Architecture Center Building A - North Side Bike Racks (798 Ross St, College Station)",,False,,
25-1208-0006,12-15-2025,2025-12-15,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-15-2025.html,list,unknown,2025-12-07T22:00:00,2025-12-08T11:20:00,13.33,True,"Hullabaloo Residence Hall - Southeast Bike Racks (306 University Dr, College Station)",,False,,
25-1208-0008,12-15-2025,2025-12-15,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-15-2025.html,list,unknown,2025-12-07T18:00:00,2025-12-08T11:40:00,17.67,True,"Lechner Residence Hall - Bike Racks (232 Houston St, College Station)",,False,,
25-1208-0011,12-15-2025,2025-12-15,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-15-2025.html,list,unknown,2025-12-01T12:00:00,2025-12-08T15:00:00,171.0,False,"White Hall-Dorm 10 - Bike Racks (736 Military Mall, College Station)",,False,,
25-1209-0002,12-15-2025,2025-12-15,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-15-2025.html,list,unknown,2025-12-06T21:00:00,2025-12-08T23:45:00,50.75,True,"Zachry Engineering Education Complex - Bike Racks (125 Spence St, College Station)",,False,,
25-1212-0004,12-15-2025,2025-12-15,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-15-2025.html,list,unknown,2025-12-11T16:00:00,2025-12-12T04:00:00,12.0,True,"Zachry Engineering Education Complex - North Side Bike Racks (125 Spence St, College Station)",,False,,
25-1212-0005,12-15-2025,2025-12-15,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-15-2025.html,list,unknown,2025-12-09T14:00:00,2025-12-11T09:30:00,43.5,True,"Krueger Residence Hall - West Side Bike Racks (722 Lubbock St, College Station)",,False,,
25-1212-0007,12-15-2025,2025-12-15,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/12/12-15-2025.html,list,unknown,2025-12-10T17:30:00,2025-12-12T10:00:00,40.5,True,"Peterson Building - North Side Bike Racks (435 Nagle St, College Station)",,False,,
26-0101-0006,1-1-2026,2026-01-02,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/01/1-1-2026.html,narrative,unknown,2025-12-23T11:30:00,,,,Astin Aviation,,True,"On Jan. 1, 2026, the Texas A&M University Police Department (UPD) received a report of a stolen vehicle. The victim parked their vehicle at Astin Aviation on Dec. 23, 2025, at approximately 11:30 a.m. The victim noticed their vehicle was missing today, Jan. 1, 2026, at approximately 2:30 p.m. The victim’s vehicle is described as a White 2021 Chevrolet Suburban Z71. ",
25-1213-0001,1-6-2026,2026-01-06,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/01/1-6-2026.html,list,unknown,2025-12-12T22:00:00,2025-12-12T23:30:00,1.5,True,"Zachry Engineering Education Complex - Northeast Bike Racks (125 Spence St, College Station)",,False,,
25-1215-0002,1-6-2026,2026-01-06,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/01/1-6-2026.html,list,unknown,2025-12-14T23:00:00,2025-12-15T05:18:00,6.3,True,"Student Computing Center - Bike Racks Near The Main Entrance (400 Spence St, College Station)",,False,,
25-1215-0003,1-6-2026,2026-01-06,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/01/1-6-2026.html,list,unknown,2025-12-12T15:00:00,2025-12-13T22:41:00,31.68,True,"Joe C. Richardson Petroleum Engineering Building - South Side Bike Racks (245 Spence St, College Station)",,False,,
25-1215-0005,1-6-2026,2026-01-06,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/01/1-6-2026.html,list,unknown,2025-12-14T10:30:00,2025-12-15T12:00:00,25.5,True,"Southside Recreation Center - Bike Racks (633 Bizzell St, College Station)",,False,,
25-1215-0007,1-6-2026,2026-01-06,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/01/1-6-2026.html,list,unknown,2025-12-15T16:20:00,2025-12-15T16:23:00,0.05,True,"Memorial Student Center - Northeast Bike Racks (275 Joe Routt Bl, College Station)",,False,,
25-1215-0009,1-6-2026,2026-01-06,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/01/1-6-2026.html,list,unknown,2025-12-15T19:08:00,2025-12-15T19:08:00,0.0,True,"Park West Tower 3 - North Side Bike Racks (503 George Bush Drive, College Station, TX 77840)",,False,,
25-1217-0008,1-6-2026,2026-01-06,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/01/1-6-2026.html,list,unknown,2025-12-17T12:05:00,2025-12-17T16:45:00,4.67,True,"Pavilion (424 Spence St, College Station)",,False,,
26-0103-0010,1-6-2026,2026-01-06,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/01/1-6-2026.html,list,unknown,2025-12-22T08:00:00,2026-01-03T11:00:00,291.0,False,"Underwood Residence Hall - Bike Racks (644 Mosher Ln, College Station)",,False,,
26-0103-0012,1-6-2026,2026-01-06,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/01/1-6-2026.html,list,unknown,2025-12-12T17:51:00,2026-01-03T15:30:00,525.65,False,"Clements Residence Hall - West Side Bike Racks (211 Jones St, College Station)",,False,,
26-0107-0003,1-16-2026,2026-01-16,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/01/1-16-2026.html,list,unknown,2026-01-06T21:55:00,2026-01-07T14:30:00,16.58,True,"The Gardens H - Under Stairs Next To a Bike Rack On The Northeast Side (302 Ball St, College Station)",,False,,
26-0111-0009,1-16-2026,2026-01-16,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/01/1-16-2026.html,list,unknown,2025-12-16T15:00:00,2026-01-11T21:40:00,630.67,False,"Underwood Residence Hall - East Side Bike Racks (644 Mosher Ln, College Station, TX 77843)",,False,,
26-0112-0005,1-16-2026,2026-01-16,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/01/1-16-2026.html,list,unknown,2025-12-15T12:30:00,2026-01-12T09:00:00,668.5,False,"Zachry Engineering Education Complex - Southeast Bike Racks (125 Spence St, College Station)",,False,,
26-0112-0006,1-16-2026,2026-01-16,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/01/1-16-2026.html,list,unknown,2025-12-18T16:26:00,2026-01-12T10:00:00,593.57,False,"U Centre Apartments (Unspecified Bike Rack) (907 Cross St, Ste 01, College Station)",,False,,
26-0114-0008,1-16-2026,2026-01-16,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/01/1-16-2026.html,list,unknown,2026-01-13T18:00:00,2026-01-14T09:00:00,15.0,True,"Bike Rack Between Clements Residence Hall and Fowler Residence Hall (211 Jones St, College Station)",,False,,
26-0115-0011,1-16-2026,2026-01-16,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/01/1-16-2026.html,list,unknown,2026-01-13T12:30:00,2026-01-13T16:37:00,4.12,True,"Zachry Engineering Education Complex - South Side Bike Racks (125 Spence St, College Station)",,False,,
26-0116-0010,2-3-2026,2026-02-03,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/02/2-3-2026.html,list,unknown,2026-01-15T16:00:00,2026-01-16T02:45:00,10.75,True,"U Centre #10 - Bike Racks (907 Cross St, Ste 10, College Station)",,False,,
26-0123-0004,2-3-2026,2026-02-03,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/02/2-3-2026.html,list,unknown,2025-12-18T12:00:00,2026-01-23T12:30:00,864.5,False,"Bike Racks North of Bizzell Street and Lubbock Street Intersection (College Station, TX 77843)",,False,,
26-0126-0002,2-3-2026,2026-02-03,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/02/2-3-2026.html,list,unknown,2026-01-25T14:30:00,2026-01-26T01:10:00,10.67,True,"Haas Residence Hall - West Side Bike Racks (212 Houston St, College Station)",,False,,
26-0126-0004,2-3-2026,2026-02-03,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/02/2-3-2026.html,list,unknown,2026-01-23T19:38:00,2026-01-26T14:10:00,66.53,True,"U Centre #07 - Exterior (907 Cross St, Ste 07, College Station)",,False,,
26-0130-0011,2-3-2026,2026-02-03,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/02/2-3-2026.html,list,unknown,2026-01-29T18:00:00,2026-01-29T20:00:00,2.0,True,"Memorial Student Center - Northeast Bike Racks (275 Joe Routt Bl, College Station)",,False,,
26-0201-0002,2-3-2026,2026-02-03,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/02/2-3-2026.html,list,unknown,2026-01-31T13:30:00,2026-02-01T00:30:00,11.0,True,"Emerging Technologies Building - West Side Bike Racks (101 Bizzell St, College Station)",,False,,
26-0201-0007,2-3-2026,2026-02-03,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/02/2-3-2026.html,list,unknown,2026-01-31T10:00:00,2026-02-01T13:45:00,27.75,True,"Neeley Residence Hall - South Side Bike Racks (140 Asbury St, College Station)",,False,,
26-0202-0002,2-3-2026,2026-02-03,https://upd.tamu.edu/reporting/crime-log-and-alerts/2026/02/2-3-2026.html,list,unknown,2026-01-30T18:00:00,2026-02-02T07:30:00,61.5,True,"Mosher Residence Hall - East Side Bike Racks (725 Mosher Ln, College Station)",,False,,
